fixed_utilization,fixed_bp_by_week_99,ema_utilization,ema_bp_by_week_99,reserve_utilization,reserve_bp_by_week_99
0.8568767314,0.961874114,0.5997983417,0.2367005325,0.8730828955,0.3537613297
0.8203921379,0.9275640177,0.6238305599,0.2100432469,0.8570541278,0.2872730243
0.7894692682,0.8940630135,0.6408231513,0.1896871508,0.8345310729,0.191826613
0.7591672779,0.8609710836,0.650927626,0.173668112,0.8163873278,0.1579107888
0.7324843971,0.8306957642,0.656666666,0.161830512,0.7957011788,0.1217453549
0.7081446374,0.8020821581,0.6598994348,0.1554644329,0.7773065686,0.1025923931
0.6858819505,0.7722318175,0.661327636,0.1515941663,0.7577768041,0.0828174014
0.665527875,0.7444964756,0.6614448992,0.1466866818,0.7400261731,0.0705091952
0.6464560849,0.7167993355,0.6609443975,0.1428618426,0.7217055426,0.0610283433
0.6287951379,0.6906000796,0.6598955007,0.138356266,0.7047929903,0.0554734706
0.6117839065,0.6617930851,0.6583875848,0.1355427986,0.6877418121,0.0493080918
0.595952391,0.6373294407,0.656487998,0.1349733637,0.6719933927,0.0450903165
0.5806938574,0.6131183036,0.6547912514,0.1336244355,0.656151656,0.0411735703
0.5662029675,0.5885123734,0.652928536,0.1321761968,0.6416565074,0.0375578532
0.5522283539,0.5663429628,0.6504042219,0.1306311784,0.6271471173,0.0354113369
0.5388342617,0.5439506045,0.6479438469,0.1311387944,0.6137761699,0.0317203625
0.5259516499,0.5195306729,0.6457097972,0.1313861442,0.6003601011,0.0299141883
0.5136172633,0.4967361317,0.643425393,0.129825574,0.5879801052,0.0270510437
0.5017369418,0.4768282832,0.6406933555,0.1288210385,0.5756231281,0.0256964131
0.4901957336,0.4562697296,0.6382298167,0.1330397219,0.5641669517,0.0234353265
0.4792161105,0.4373201994,0.6359147433,0.132792372,0.5527548291,0.0222312104
0.468708155,0.4178216392,0.6333913749,0.1373834493,0.5421669754,0.0204969247
0.4585113795,0.4001501274,0.6309218232,0.1369455583,0.5316097169,0.0195185803
0.448610794,0.3809964451,0.6283549913,0.1351490636,0.521771917,0.0177090373
0.4390754763,0.3619505823,0.6255107865,0.1363079415,0.5119808865,0.0168059502
0.4298575598,0.3440443981,0.6231869726,0.132336608,0.5028512103,0.0150716645
0.4208813207,0.3273930677,0.6203497979,0.131502951,0.4937361815,0.0143190919
0.4122307809,0.3119055803,0.617858812,0.133117593,0.4852344318,0.0126600634
0.4038660416,0.2969323761,0.6153812828,0.1347322351,0.4767366256,0.0120580053
0.3957577718,0.2807593866,0.6125962425,0.1344070141,0.468799999,0.0104742341
0.3878337064,0.2654733038,0.610434208,0.1358521775,0.4608575334,0.0100226906
0.3801208629,0.2521162211,0.6079855229,0.1357353301,0.4534421543,0.0083636621
0.3725570974,0.2381031956,0.6055674758,0.1338297653,0.4460000509,0.0079121185
0.365207332,0.2258264081,0.6032028892,0.1318471999,0.4390453337,0.0063283473
0.3580868365,0.2132663014,0.6007107517,0.1315127536,0.4320660333,0.0058768037
0.3511584723,0.2013916968,0.5977334011,0.1304356805,0.4255401613,0.0042930325
0.3443903316,0.1899266649,0.5955553394,0.1306440948,0.4189743985,0.0039920035
0.3377702531,0.1782830243,0.5932814868,0.1282484677,0.412835503,0.0028613642
0.3313215979,0.1682850646,0.5909459597,0.1311518632,0.4066618665,0.0024842837
0.3250246415,0.1590625377,0.5883957571,0.1296043094,0.4008758649,0.0021079974
0.3189499808,0.1506665462,0.5863266886,0.1275211786,,
0.312958178,0.1423302997,0.5837639874,0.1277786244,,
0.307180529,0.1340685779,0.581359482,0.1248168323,,
0.3014980827,0.1270509804,0.5789647299,0.1248168323,,
0.2959278709,0.1204133963,0.5758998659,0.1373110913,,
0.2905391222,0.1134031886,0.57365436,0.1377668553,,
0.2852704198,0.106221762,0.5712918715,0.1403187765,,
0.2801292977,0.1003442048,0.5688253853,0.1282087181,,
0.2751466137,0.0944069025,0.5665056417,0.1344520571,,
0.2702637337,0.0897580635,0.5643451148,0.1315724192,,
0.2655181237,0.0849675649,0.5621181517,0.1293449012,,
0.2608785467,0.0803710812,0.5597472372,0.1293449012,,
0.2563706601,0.076251305,0.5574706923,0.1267175554,,
0.2519896685,0.0721912739,0.5541906245,0.1303501804,,
0.2477459036,0.068458901,0.5522120499,0.1442720021,,
0.2436297628,0.0645405295,0.5500490505,0.1326290008,,
0.2396187471,0.0600930952,0.5475020074,0.1322696702,,
0.2357266969,0.0564278572,0.5454705022,0.1322696702,,
0.2319509025,0.0526209596,0.5431706741,0.1297762528,,
0.2282858707,0.0499984412,0.5410988797,0.1456370923,,
0.2247323067,0.0471375691,0.5390419191,0.1443684356,,
0.2212735865,0.0444928812,0.5364462396,0.1307131012,,
0.2179192304,0.0419522774,0.5342276809,0.1522240649,,
0.2146607925,0.039456639,0.5315207854,0.1496867514,,
0.2114807304,0.0364245479,0.5293754849,0.146905749,,
0.2083901643,0.0340779589,0.5271706694,0.146905749,,
0.2053773471,0.0318132844,0.5250088145,0.146905749,,
0.2024526892,0.0298614885,0.5232000223,0.146905749,,
0.1995865197,0.0274329849,0.5213943403,0.1481744057,,
