Capacity,BP,BP 95% confidence,Utilization
2,0.9403,0.012,0.8569
4,0.886,0.0214,0.8204
6,0.8364,0.029,0.7895
8,0.7901,0.0345,0.7592
10,0.7474,0.0391,0.7325
12,0.7064,0.0428,0.7081
14,0.668,0.0458,0.6859
16,0.6313,0.0483,0.6655
18,0.5968,0.0502,0.6465
20,0.5638,0.0516,0.6288
22,0.5317,0.0523,0.6118
24,0.5016,0.0527,0.596
26,0.4726,0.0526,0.5807
28,0.4453,0.0521,0.5662
30,0.4191,0.0516,0.5522
32,0.3945,0.0506,0.5388
34,0.3705,0.0495,0.526
36,0.348,0.0481,0.5136
38,0.327,0.0467,0.5017
40,0.3066,0.0452,0.4902
42,0.2871,0.0437,0.4792
44,0.2685,0.0421,0.4687
46,0.251,0.0406,0.4585
48,0.2339,0.0389,0.4486
50,0.218,0.0374,0.4391
52,0.2031,0.0358,0.4299
54,0.1885,0.0343,0.4209
56,0.175,0.0328,0.4122
58,0.1624,0.0315,0.4039
60,0.1499,0.0301,0.3958
62,0.1383,0.0286,0.3878
64,0.1277,0.0273,0.3801
66,0.1176,0.0259,0.3726
68,0.1084,0.0247,0.3652
70,0.0995,0.0234,0.3581
72,0.0913,0.0222,0.3512
74,0.0833,0.0211,0.3444
76,0.0764,0.0199,0.3378
78,0.0698,0.0188,0.3313
80,0.0635,0.0177,0.325
82,0.0576,0.0168,0.3189
84,0.0521,0.0158,0.313
86,0.0473,0.0149,0.3072
88,0.0429,0.0141,0.3015
90,0.0389,0.0135,0.2959
92,0.0352,0.0128,0.2905
94,0.0318,0.0121,0.2853
96,0.0288,0.0114,0.2801
98,0.0262,0.0108,0.2751
100,0.0239,0.0103,0.2703
102,0.0217,0.0097,0.2655
104,0.0198,0.0092,0.2609
106,0.0182,0.0088,0.2564
108,0.0166,0.0083,0.252
110,0.0152,0.0079,0.2477
112,0.0139,0.0074,0.2436
114,0.0127,0.007,0.2396
116,0.0115,0.0065,0.2357
118,0.0105,0.0061,0.232
120,0.0095,0.0058,0.2283
122,0.0087,0.0054,0.2247
124,0.0079,0.0051,0.2213
126,0.0071,0.0048,0.2179
128,0.0064,0.0045,0.2147
130,0.0058,0.0042,0.2115
132,0.0052,0.0039,0.2084
134,0.0047,0.0037,0.2054
136,0.0042,0.0035,0.2025
138,0.0038,0.0032,0.1996
140,0.0034,0.003,0.1968
142,0.0031,0.0028,0.1941
144,0.0027,0.0026,0.1915
146,0.0025,0.0025,0.1889
148,0.0022,0.0024,0.1864
150,0.0019,0.0022,0.1839
152,0.0018,0.0021,0.1815
154,0.0016,0.0019,0.1792
156,0.0014,0.0018,0.177
158,0.0013,0.0017,0.1747
160,0.0012,0.0016,0.1726
162,0.0011,0.0015,0.1705
164,0.001,0.0015,0.1684
166,0.0009,0.0014,0.1664
168,0.0007,0.0012,0.1644
170,0.0006,0.0011,0.1625
172,0.0006,0.001,0.1606
174,0.0005,0.001,0.1588
176,0.0005,0.0009,0.157
178,0.0005,0.0009,0.1552
180,0.0004,0.0008,0.1535
182,0.0004,0.0008,0.1518
184,0.0004,0.0007,0.1502
186,0.0003,0.0007,0.1485
188,0.0003,0.0006,0.147
190,0.0003,0.0006,0.1454
192,0.0003,0.0006,0.1439
194,0.0003,0.0005,0.1424
196,0.0002,0.0004,0.141
198,0.0002,0.0004,0.1396
200,0.0002,0.0004,0.1382
