R,BP,BP 95% confidence,Utilization
1,0.281,0.0163,0.8731
2,0.2034,0.0178,0.8571
3,0.1167,0.0138,0.8345
4,0.0835,0.0127,0.8164
5,0.0553,0.011,0.7956
6,0.0405,0.0101,0.7772
7,0.0288,0.009,0.7577
8,0.0217,0.0082,0.74
9,0.0165,0.0073,0.7217
10,0.0131,0.0068,0.7047
11,0.0103,0.0061,0.6877
12,0.0086,0.0057,0.6719
13,0.0071,0.0051,0.6561
14,0.0061,0.0047,0.6416
15,0.0052,0.0044,0.6271
16,0.0045,0.0039,0.6137
17,0.0038,0.0036,0.6003
18,0.0033,0.0032,0.5879
19,0.0028,0.003,0.5756
20,0.0024,0.0027,0.5641
21,0.0021,0.0025,0.5528
22,0.0019,0.0023,0.5422
23,0.0017,0.0021,0.5316
24,0.0015,0.0019,0.5218
25,0.0013,0.0018,0.512
26,0.0012,0.0016,0.5029
27,0.0011,0.0015,0.4937
28,0.001,0.0014,0.4852
29,0.0008,0.0012,0.4767
30,0.0008,0.0011,0.4688
