ma_utilization,ma_wait_time_by_week_99,ema_utilization,ema_wait_time_by_week_99,reserve_utilization,reserve_wait_time_by_week_99,time_vary_reserve_utilization,time_vary_wait_time_by_week_99
0.4545,1459.88,0.6888,5390.96,0.885,1299.09,0.8499,3080.85
0.5454,1486.42,0.6891,4391.3,0.8694,1000.21,0.8371,3905.43
0.5873,1206.85,0.6891,3323.68,0.8416,231.95,0.8293,981.85
0.6144,1088.92,0.6887,2510.07,0.8228,173.1,0.8258,912.7
0.6346,1107.54,0.6876,2017.04,0.8,95.29,0.8387,1778.8
0.6426,1358.98,0.6862,1688.73,0.7811,83.04,0.833,3019.9
0.6515,1322.51,0.6845,1477.5,0.7602,54.07,0.8261,823.99
0.6576,1061.78,0.6826,1324.16,0.7417,49.94,0.8221,912.33
0.6631,1076.54,0.6804,1204.33,0.7228,33.62,0.8386,1778.8
0.6718,1082.32,0.678,1102.01,0.7053,30.36,0.8309,2594.41
0.6718,1030.85,0.6758,1053.41,0.6883,24.38,0.8229,815.46
0.673,1073.64,0.6733,1005.48,0.6719,21.66,0.8185,876.23
0.6789,1081.69,0.6707,947.6,0.6561,17.84,0.8376,1784.9
0.6788,1069.54,0.6681,942.05,0.641,15.11,0.8283,937.52
0.6799,1094.45,0.6656,887.87,0.6266,12.46,0.8202,807.25
0.6811,1158.75,0.6631,879.93,0.6127,10.48,0.8133,859.88
0.6822,1119.35,0.6604,862.2,0.5994,8.9,0.8359,1784.9
0.6845,1214.4,0.6576,825.32,0.5867,7.76,0.8228,769.23
0.6852,1285.88,0.655,816.96,0.5745,7.07,0.8164,806.25
0.6867,1310.36,0.6523,829.01,0.5628,6.28,0.8101,830.81
0.6873,1326.32,0.6493,809.35,0.5517,5.77,0.8358,1784.87
0.6876,1360.13,0.6466,806.92,0.5406,5.01,0.8194,803.89
0.6888,1393.72,0.6437,813.21,0.5303,4.54,0.8118,777.65
0.6883,1388.39,0.6409,796.57,0.5204,3.1,0.805,825.86
0.6906,1455.63,0.638,773.9,0.5106,2.66,0.8328,1805.6
0.69,1421.21,0.6354,767.94,0.5012,1.89,0.812,761.41
0.6896,1501.39,0.6325,752.43,0.4923,1.64,0.8066,637.86
0.6899,1554.8,0.6298,748.57,0.4836,1.19,0.7969,823.58
0.6923,1588.95,0.627,733.78,0.4754,1.04,0.8313,1805.2
0.6919,1645.69,0.6243,731.56,0.4671,0.66,0.8069,685.97
0.6919,1687.74,0.6218,721.73,0.4595,0.59,0.7981,547.61
0.6925,1724.32,0.619,724.41,0.4518,0.3,0.7892,806.68
0.6923,1797.57,0.616,688.36,0.4448,0.3,0.8305,1805.2
0.6916,1851.12,0.6132,682.67,0.4374,0.09,0.7928,589.28
0.6926,1922.46,0.6106,675.23,0.4308,0.09,0.7881,362.41
0.6922,2014.91,0.6079,667.9,0.4241,0,0.7796,433.86
0.6931,2116.53,0.6051,641.73,0.4178,0,0.8295,1805.2
0.6934,2159.65,0.6025,662.28,0.4113,0,0.7778,450.97
0.6928,2191.08,0.5998,657.53,0.4054,0,0.7671,236.89
0.6929,2255.99,0.5972,638.89,0.3994,0,0.7573,121.12
0.6949,2430.48,0.5938,631.42,,,0.8289,1589.51
0.6939,2479.53,0.5913,607.83,,,0.7426,177.97
0.6937,2588.3,0.5886,599.22,,,0.7117,32.45
0.6937,2689.37,0.586,603.24,,,0.624,19.46
0.6941,2768.53,0.5833,603.78,,,,
0.6929,2866.08,0.5807,599.05,,,,
0.6951,2972.49,0.578,601.96,,,,
0.6935,2991.39,0.5754,592.21,,,,
0.6941,3111.3,0.5726,575.74,,,,
0.6939,3203.66,0.5695,574.61,,,,
,,0.5668,580.14,,,,
,,0.5642,572.87,,,,
,,0.5618,578.97,,,,
,,0.5595,577.42,,,,
,,0.5569,575.04,,,,
,,0.5542,545.29,,,,
,,0.5514,543.22,,,,
,,0.5481,524.32,,,,
,,0.5457,522.93,,,,
,,0.5436,521.85,,,,
,,0.5408,504.76,,,,
,,0.5385,510.52,,,,
,,0.5361,513.14,,,,
,,0.5338,512.8,,,,
,,0.5315,510.25,,,,
,,0.5289,510.38,,,,
,,0.5254,486.89,,,,
,,0.5233,486.76,,,,
,,0.521,486.83,,,,
,,0.5187,491.59,,,,
,,0.5162,499.96,,,,
,,0.5141,496.84,,,,
,,0.5121,495.94,,,,
,,0.51,494.71,,,,
,,0.5077,489.22,,,,
,,0.5034,463.55,,,,
,,0.5014,462.1,,,,
,,0.4994,453.29,,,,
,,0.4974,451.99,,,,
,,0.4956,451.32,,,,
,,0.4932,457.24,,,,
,,0.4912,457.79,,,,
,,0.4891,451.14,,,,
,,0.4869,450.76,,,,
,,0.4832,428.61,,,,
,,0.481,428.29,,,,
,,0.4791,428.45,,,,
,,0.4776,428.84,,,,
,,0.476,428.76,,,,
,,0.4745,427.24,,,,
,,0.4717,429.61,,,,
,,0.4694,427.89,,,,
,,0.4681,427.89,,,,
,,0.4642,424.44,,,,
,,0.4625,424.58,,,,
,,0.4601,423.65,,,,
,,0.4584,423.68,,,,
,,0.4567,423.68,,,,
,,0.4556,423.6,,,,
,,0.4545,1459.88,,,,
