k,mean_utilization,wait_time_by_hour_99,wait_time_by_day_99,wait_time_by_week_99,wait_times_year_99_percentile,wait_time_mean
1,0.4545,4786.82,3283.6,1459.88,5022.76,149.02
2,0.5454,5049.86,2751.8,1486.42,5923.76,210.47
3,0.5873,4772.8,2604.82,1206.85,5946.76,238.16
4,0.6144,4463.02,2098.08,1088.92,5939.92,262.2
5,0.6346,4431.8,2063.54,1107.54,5931.52,290.74
6,0.6426,4328.96,2155.3,1358.98,6035.88,293.38
7,0.6515,4180.43,2065.25,1322.51,6023.82,309
8,0.6576,3844.49,1784.96,1061.78,5790.64,308.54
9,0.6631,4066.95,1919.26,1076.54,5990.82,327.43
10,0.6718,4134.86,1996.23,1082.32,6159.82,363.34
11,0.6718,4136.06,1994.18,1030.85,6181.82,370.65
12,0.673,4018.58,1916.5,1073.64,6349.91,381.08
13,0.6789,4134.16,2089.44,1081.69,6591.91,414.04
14,0.6788,4082.98,2193.11,1069.54,6596.91,423.33
15,0.6799,4057.11,2396.8,1094.45,6534.91,435.17
16,0.6811,3933.95,2436.56,1158.75,6687.55,462.02
17,0.6822,3942.07,2386.55,1119.35,6747.73,473.77
18,0.6845,3947.84,2388.01,1214.4,6953,509.06
19,0.6852,4005.46,2397.48,1285.88,7158,537
20,0.6867,4001.36,2399.56,1310.36,7215.91,566.06
21,0.6873,4074.44,2372.56,1326.32,7404.91,590.28
22,0.6876,4116.94,2111.27,1360.13,7385.91,607.9
23,0.6888,4305.12,2179.02,1393.72,7459,637.07
24,0.6883,4240.79,2300.13,1388.39,7485.91,657.77
25,0.6906,4500.82,2410.79,1455.63,7717.37,704.7
26,0.69,4555.82,2515.6,1421.21,7719.91,722.12
27,0.6896,4617.47,2722.41,1501.39,7779.91,748.03
28,0.6899,4647.95,2803.61,1554.8,7848.64,781.07
29,0.6923,4690.72,2891.88,1588.95,8008,838.1
30,0.6919,4939.05,3060.37,1645.69,8178,870.71
31,0.6919,4812.22,3196.15,1687.74,8185.91,900.08
32,0.6925,4946.3,3211.83,1724.32,8185.82,939.48
33,0.6923,5134.16,3360.18,1797.57,8273.91,975.89
34,0.6916,5196.23,3268.84,1851.12,8373,1006.19
35,0.6926,5208.36,3396.54,1922.46,8516.73,1068.92
36,0.6922,5406.4,3588.52,2014.91,8500.64,1104.03
37,0.6931,5662.29,3725,2116.53,8726,1151.17
38,0.6934,5613.05,3839.81,2159.65,8848.28,1194.71
39,0.6928,5735.87,4107.72,2191.08,8796.73,1232.29
40,0.6929,5800.69,4089.88,2255.99,8880.73,1282.03
41,0.6949,6097.57,4211.64,2430.48,9110.91,1363.1
42,0.6939,6109.07,4352.04,2479.53,9096,1394.45
43,0.6937,6189.86,4605.68,2588.3,9257,1438.33
44,0.6937,6482.4,4640.52,2689.37,9266,1493.49
45,0.6941,6513.47,4771.38,2768.53,9410.91,1544.25
46,0.6929,6714.89,4954.03,2866.08,9478,1588.89
47,0.6951,6902.54,5034.05,2972.49,9662.73,1673.17
48,0.6935,6971.71,5111.54,2991.39,9673,1698.51
49,0.6941,7074.49,5192.54,3111.3,9706.73,1764.64
50,0.6939,7114.89,5269.96,3203.66,9730,1803.99
