percentile,window_size,mean_utilization,wait_time_by_hour_99,wait_time_by_day_99,wait_time_by_week_99,wait_times_year_99_percentile,wait_time_mean
0.9,12,0.8499,8279.22,6657.87,3080.85,9511.86,503.42
0.9,144,0.8371,4969.19,9145.52,3905.43,3280.78,126.33
0.9,288,0.8293,1946.21,1749.81,981.85,1964.46,65.03
0.9,2016,0.8258,1916.18,1372.15,912.7,2159.82,65.63
0.91,12,0.8387,4694.55,3350.98,1778.8,6332.92,275.91
0.91,144,0.833,3542.72,6519.07,3019.9,3083.78,107.23
0.91,288,0.8261,1856.05,1279.3,823.99,1827,59.01
0.91,2016,0.8221,1859.32,1372.15,912.33,1975.73,56.7
0.92,12,0.8386,4694.55,3350.98,1778.8,6332.92,274.99
0.92,144,0.8309,3033.32,5770.4,2594.41,2969,100.46
0.92,288,0.8229,1758.25,1279.3,815.46,1649.91,51.64
0.92,2016,0.8185,1763.56,1279.3,876.23,1845.91,51.19
0.93,12,0.8376,4666.92,3350.98,1784.9,6368.56,275.25
0.93,144,0.8283,2544.98,2005.71,937.52,2695.85,92.13
0.93,288,0.8202,1678.4,1279.3,807.25,1547,47.44
0.93,2016,0.8133,1596.2,1279.3,859.88,1571.91,44.27
0.94,12,0.8359,4748.04,3350.98,1784.9,6412.92,272.22
0.94,144,0.8228,2165.44,1482.95,769.23,2311.55,77.34
0.94,288,0.8164,1643.39,1279.3,806.25,1441.64,43.29
0.94,2016,0.8101,1044.64,1279.3,830.81,1386.91,39.05
0.95,12,0.8358,4748.04,3350.98,1784.87,6379.64,268.75
0.95,144,0.8194,2015.54,1503.77,803.89,2195.86,69.62
0.95,288,0.8118,1503.24,1279.3,777.65,1303.91,38.11
0.95,2016,0.805,811.05,1279.3,825.86,1288.82,33.48
0.96,12,0.8328,4694.55,3403.07,1805.6,6206.1,254.42
0.96,144,0.812,1638.67,1279.3,761.41,1701.91,51.48
0.96,288,0.8066,1192.06,1181.02,637.86,1151,32.65
0.96,2016,0.7969,810.44,1279.3,823.58,1178.91,28.59
0.97,12,0.8313,4644.54,3403.07,1805.2,6217.46,252.64
0.97,144,0.8069,1402.42,1166.06,685.97,1546.91,45.35
0.97,288,0.7981,1004.09,1181.02,547.61,924,26.3
0.97,2016,0.7892,738.14,1279.3,806.68,966.91,23.27
0.98,12,0.8305,4644.54,3403.07,1805.2,6217.46,252.29
0.98,144,0.7928,983.9,1151.37,589.28,1168.82,31.81
0.98,288,0.7881,649.29,909.44,362.41,759.82,19.92
0.98,2016,0.7796,508.98,601.88,433.86,776.82,19.13
0.99,12,0.8295,4644.54,3403.07,1805.2,6194.82,250.02
0.99,144,0.7778,655.36,584.68,450.97,893.82,23.95
0.99,288,0.7671,393.54,965.29,236.89,426,12.66
0.99,2016,0.7573,231.78,200.72,121.12,446,12.35
1,12,0.8289,4477.01,3299.35,1589.51,6027,239.02
1,144,0.7426,384.27,311.16,177.97,531.82,15.71
1,288,0.7117,87.61,82.86,32.45,0,5.96
1,2016,0.624,0,34.73,19.46,0,1.32
