alpha,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
0.01,0.148964784994,0.0182256818869,12.2348928894,0.599798341677,0,0.428571428571,0.625,0.076892193784,0.123636899499,0.282347631222,0.341441688977,0.133731857061,0.151115137998,0.22163275737,0.236700532483,0.141596478294,0.147988210805,0.21578429774,0.216250623703,0.148196532996,0.149295646019,0.149295646019,0.149295646019,0.149295646019,731535799,139756422,84302830224,28.2275500589,2.9300730546
0.02,0.117218191471,0.01899887288,16.208126607,0.623830559918,0,0.4,0.625,0.0642017251417,0.102571595558,0.234173525968,0.2836264303,0.107617726723,0.10850163275,0.195644722439,0.210043246914,0.111424166912,0.119011422676,0.190425199118,0.194066719828,0.11767601157,0.116600835636,0.116600835636,0.116600835636,0.116600835636,760110070,111182151,150383244885,30.5270730271,3.31347366604
0.03,0.0949979354686,0.0185205736945,19.4957644113,0.640823151277,0,0.375,0.631578947368,0.0554816075506,0.0831126971336,0.204033786345,0.247584960476,0.0887802750419,0.0874450146628,0.170886218829,0.189687150833,0.0914837085794,0.0973110871753,0.165360239436,0.173149555562,0.0965509455405,0.0941174456038,0.0941174456038,0.0941174456038,0.0941174456038,780242233,91049988,204312197346,32.2905005889,3.57497199103
0.04,0.0814133191765,0.0180964811621,22.2279122693,0.650927626017,0,0.346153846154,0.636363636364,0.0499284360195,0.069632034632,0.183987713675,0.232275251566,0.0770163889011,0.0747296353929,0.158098150871,0.173668111981,0.0793404697208,0.0856448366224,0.150012906212,0.159007563879,0.0837653471903,0.0804812895272,0.0804812895272,0.0804812895272,0.0804812895272,792840663,78451558,254520373107,33.5013545347,3.7415311441
0.05,0.0726184156197,0.0176726241756,24.3362844326,0.656666665962,0,0.333333333333,0.629196884233,0.0462459825645,0.0613628763577,0.177762357917,0.2127982581,0.0696357836611,0.0720483625626,0.149266697571,0.161830512005,0.0717905811372,0.0776239967264,0.139135058728,0.148738985172,0.0753733942639,0.0716283476792,0.0716283476792,0.0716283476792,0.0716283476792,800868311,70423910,300639151107,34.3490400471,3.8513094841
0.06,0.0668082345308,0.0170960631911,25.5897544833,0.659899434815,0,0.333333333333,0.625,0.0440467063121,0.0560252906016,0.168959432966,0.204578286961,0.0648861205743,0.0671446065527,0.140295947587,0.155464432934,0.0667060024491,0.0724443540655,0.13174055103,0.142106326523,0.0697760051679,0.0659090390192,0.0659090390192,0.0659090390192,0.0659090390192,806548712,64743509,345899111868,34.9830094229,3.92923790401
0.07,0.0628738276411,0.0165835361213,26.3758971634,0.661327635956,0,0.3125,0.603939393939,0.0423763146053,0.0515477613923,0.164459106218,0.194263802024,0.0613640843384,0.0646419747385,0.136238151218,0.151594166264,0.0630155405054,0.0679291277297,0.128214360822,0.137616298104,0.0658223936214,0.0619249297929,0.0619249297929,0.0619249297929,0.0619249297929,810488587,60803634,389659847268,35.4725677267,3.98484196914
0.08,0.0601191529523,0.0162812078221,27.0815655621,0.661444899172,0,0.302502050861,0.6,0.0411177787813,0.05,0.158409144612,0.200180929095,0.0591859508908,0.0636202774864,0.134593652504,0.146686681779,0.0608392313416,0.0647176892411,0.124592254558,0.133590251204,0.0633225599531,0.059196556999,0.059196556999,0.059196556999,0.059196556999,813042420,58249801,431628086529,35.8697232038,4.028010464
0.09,0.058196189465,0.0160867368794,27.6422511978,0.660944397451,0,0.303359683794,0.6,0.0406601666351,0.0450615769042,0.157905982906,0.194856392092,0.0579094728124,0.0617777119797,0.134587283648,0.14286184262,0.0594158490088,0.0621185228931,0.123838721847,0.131184775926,0.061578015508,0.0572729971004,0.0572729971004,0.0572729971004,0.0572729971004,815146465,56145756,473932809429,36.2119316843,4.06624883922
0.1,0.0561670500796,0.0156938900307,27.9414532335,0.659895500722,0,0.298880597015,0.6,0.0399881960473,0.0457866611859,0.157408781694,0.190526507582,0.0564413102851,0.0586374830363,0.130340869842,0.138356265972,0.0578797488678,0.0602853051012,0.120787875385,0.127111926076,0.0598048496812,0.0553151898445,0.0553151898445,0.0553151898445,0.0553151898445,816787542,54504679,513797716929,36.5106654888,4.09531529985
