seats,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
2,0.94030555064,0.0120983741968,1.28664285653,0.856876731437,0.916666666667,1,1,0.736647355705,0.923995957271,0.968688591703,0.975242632942,0.885924984262,0.944781446768,0.960608035502,0.961874114001,0.898085605352,0.936162366726,0.95616540371,0.956359245163,0.919325645828,0.937264549419,0.937264549419,0.937264549419,0.937264549419,54024431,817267790,31524039,1,0
4,0.886114551997,0.0216635047862,2.44477474581,0.820392137886,0.8,1,1,0.613557817931,0.850213672544,0.935888411381,0.946586338966,0.78909577376,0.890843627572,0.923179375053,0.927564017712,0.810071832548,0.880246460329,0.915168436305,0.91549276296,0.846650658573,0.880282654855,0.880282654855,0.880282654855,0.880282654855,103448295,767843926,31524039,1,0
6,0.836471420987,0.0294198476086,3.5171372112,0.789469268199,0.666666666667,0.96,1,0.527457080404,0.785449706908,0.907497695853,0.919445581197,0.709483468007,0.844964261522,0.88763039398,0.894063013471,0.736848353484,0.830491566866,0.876213588503,0.87707964724,0.782911043885,0.828631932236,0.828631932236,0.828631932236,0.828631932236,149323560,721968661,31524039,1,0
8,0.790267209343,0.0350043300485,4.42942964539,0.759167277867,0.56,0.9375,0.970865302643,0.464078136677,0.728341598432,0.876181436335,0.893264154049,0.644064655425,0.799746093238,0.852367781264,0.860971083607,0.674790805009,0.7830455906,0.838079530999,0.840214722316,0.726029524208,0.780908239914,0.780908239914,0.780908239914,0.780908239914,191456151,679836070,31524039,1,0
10,0.747543207692,0.0396726660545,5.30707330978,0.732484397066,0.444444444444,0.916666666667,0.954545454545,0.412430755856,0.664813716228,0.847891066717,0.868962794468,0.587436956819,0.75509197093,0.820699331889,0.830695764237,0.620299131437,0.739349886744,0.803880218029,0.806489238183,0.674121833379,0.736866138496,0.736866138496,0.736866138496,0.736866138496,230908667,640383554,31524039,1,0
12,0.706594703002,0.0434099015639,6.14353622797,0.708144637388,0.333333333333,0.892857142857,0.936725146199,0.370481715447,0.614151232765,0.821329220342,0.843211772503,0.538177009555,0.711508964071,0.78949244053,0.802082158103,0.571849004898,0.695915241883,0.769752320198,0.772197552067,0.626540987265,0.6952099363,0.6952099363,0.6952099363,0.6952099363,267882950,603409271,31524039,1,0
14,0.668200318528,0.0463776248075,6.94067684818,0.685881950506,0.222222222222,0.869565217391,0.923076923077,0.335266694391,0.565525997109,0.794419469499,0.822646900521,0.494151397716,0.669219201025,0.760521974229,0.77223181751,0.527732967257,0.65403500213,0.737271883147,0.739793502083,0.582868008,0.656156533254,0.656156533254,0.656156533254,0.656156533254,302704771,568587450,31524039,1,0
16,0.631575532354,0.0488403424022,7.73309602736,0.665527875013,0.111111111111,0.847826086957,0.904172240803,0.304428185122,0.512305010835,0.769879229448,0.797025765482,0.45415075585,0.626261305215,0.730225780278,0.744496475592,0.488008583082,0.615104254374,0.705369353631,0.707382826235,0.542591808307,0.619237882143,0.619237882143,0.619237882143,0.619237882143,335682027,535610194,31524039,1,0
18,0.597150946735,0.0507948052055,8.50619185705,0.646456084937,0,0.824324324324,0.888888888889,0.277432833427,0.465981148243,0.743493576592,0.776443821321,0.418053016334,0.590202572363,0.70173830103,0.716799335547,0.451607665141,0.57920713597,0.674032653439,0.677285048923,0.505082636451,0.584551017147,0.584551017147,0.584551017147,0.584551017147,366820323,504471898,31524039,1,0
20,0.564136141096,0.052070730928,9.23017107658,0.628795137895,0,0.803092399404,0.87282742681,0.25288273337,0.416717333784,0.720392255469,0.752955215809,0.385219865737,0.552342379442,0.673482758121,0.690600079637,0.418524729409,0.544815409621,0.64301245163,0.646486775222,0.470803310123,0.551627891048,0.551627891048,0.551627891048,0.551627891048,396443249,474848972,31524039,1,0
22,0.5320828172,0.0527647562429,9.91664352563,0.611783906474,0,0.779411764706,0.854646464646,0.230529717365,0.374558080808,0.694937718806,0.731458965694,0.354323571339,0.515029190861,0.646655118207,0.661793085051,0.38737768342,0.510073719758,0.612332330072,0.616184243368,0.438017884505,0.519503869951,0.519503869951,0.519503869951,0.519503869951,424289794,447002427,31524039,1,0
24,0.501917064826,0.0531432743612,10.5880588817,0.59595239102,0,0.76,0.839084101382,0.210802697719,0.337389396142,0.668756056543,0.70779816092,0.326222828646,0.479256201825,0.618941300379,0.637329440748,0.358801925022,0.479394333731,0.58260370762,0.587232981356,0.407627782335,0.489417566611,0.489417566611,0.489417566611,0.489417566611,450883834,420408387,31524039,1,0
26,0.472907450009,0.0530495191284,11.2177380854,0.580693857399,0,0.735849056604,0.824909793814,0.192604106977,0.297006016232,0.649076217456,0.686808422647,0.300286237877,0.444741271452,0.592334166713,0.613118303594,0.332496796364,0.451358690368,0.554253451084,0.55950449965,0.379501644254,0.460586999703,0.460586999703,0.460586999703,0.460586999703,475951211,395341010,31524039,1,0
28,0.445667433493,0.0525496168873,11.7912176072,0.566202967474,0,0.716203703704,0.806819468025,0.176379122764,0.261324834965,0.623948616745,0.666489301802,0.277338254752,0.413272185323,0.566605910758,0.588512373354,0.309130345946,0.42401128059,0.528016380445,0.532993003032,0.353609365525,0.433645745337,0.433645745337,0.433645745337,0.433645745337,499772124,371520097,31524039,1,0
30,0.419430189347,0.0520340522239,12.4058910268,0.552228353945,0,0.694915254237,0.789473684211,0.161425992778,0.225772992196,0.60193062441,0.643427918683,0.255573680532,0.381627473907,0.542609465763,0.566342962848,0.286730744096,0.398147242484,0.502311627811,0.507932251092,0.328869540646,0.407714788009,0.407714788009,0.407714788009,0.407714788009,522254045,349038176,31524039,1,0
32,0.394862266266,0.0510040889879,12.9169316355,0.538834261728,0,0.670927714857,0.771428571429,0.148277298381,0.191038942625,0.579385918319,0.623638954501,0.236389651268,0.351281163652,0.519869027857,0.543950604542,0.266838313703,0.373412197551,0.477235931251,0.48348613985,0.306779548974,0.383547569579,0.383547569579,0.383547569579,0.383547569579,543559433,327732788,31524039,1,0
34,0.370825222674,0.049822354584,13.4355355401,0.525951649899,0,0.65,0.756097560976,0.135968067672,0.159143979656,0.55910663518,0.600781413057,0.218167026557,0.323776305161,0.496040040332,0.519530672917,0.247882074344,0.350215179769,0.45209843366,0.45798890575,0.285694828827,0.359985387794,0.359985387794,0.359985387794,0.359985387794,563724091,307568130,31524039,1,0
36,0.348274641656,0.0483925742989,13.894946261,0.513617263286,0,0.630434782609,0.741176470588,0.124965553513,0.12886496098,0.538207653155,0.582581638987,0.201830137526,0.298102425807,0.475601193915,0.496736131689,0.230727918332,0.328847233178,0.428918150797,0.434716225157,0.266510327303,0.3379529213,0.3379529213,0.3379529213,0.3379529213,582886463,288405758,31524039,1,0
38,0.327310800448,0.0470196993465,14.3654591544,0.5017369418,0,0.606703747073,0.723166208791,0.115075079598,0.107637017071,0.51497179934,0.566269204368,0.187018291925,0.274700014335,0.453518183313,0.476828283239,0.214973787462,0.308311547042,0.40663743613,0.412876083751,0.248751740687,0.317473001667,0.317473001667,0.317473001667,0.317473001667,601037447,270254774,31524039,1,0
40,0.306907332036,0.0454423137818,14.806525957,0.490195733643,0,0.585452961672,0.70922832981,0.105740765413,0.0894019297629,0.49322023342,0.543689439743,0.173039340005,0.251663194266,0.431821671282,0.456269729604,0.200061404058,0.289437858592,0.384397019083,0.390769035285,0.231998875421,0.297592410786,0.297592410786,0.297592410786,0.297592410786,618117977,253174244,31524039,1,0
42,0.287447649384,0.0439375913092,15.2854237645,0.47921611051,0,0.561463590483,0.694804474904,0.0971186871399,0.0694556083303,0.472414077213,0.522826545832,0.159924894247,0.227520875745,0.413096153591,0.437320199379,0.186025135262,0.271082515075,0.363160838773,0.370084907873,0.216078640955,0.278653622229,0.278653622229,0.278653622229,0.278653622229,634486749,236805472,31524039,1,0
44,0.268784285967,0.0422441758266,15.716758022,0.46870815504,0,0.538461538462,0.678462732919,0.0891619114061,0.0550091340884,0.454272715407,0.5047725,0.147797813914,0.209368096588,0.393649790728,0.417821639196,0.172936507075,0.253885016814,0.342451410803,0.348406264593,0.201215882901,0.260502522889,0.260502522889,0.260502522889,0.260502522889,650125263,221166958,31524039,1,0
46,0.251312452073,0.0407812936658,16.2273271099,0.458511379481,0,0.517342799189,0.662980342422,0.0818023868882,0.0379166081707,0.434208683473,0.48715731332,0.136580706492,0.190071565635,0.374785951992,0.40015012742,0.160726999006,0.237900136056,0.323333635703,0.328879062447,0.187383594139,0.243521541588,0.243521541588,0.243521541588,0.243521541588,664890008,206402213,31524039,1,0
48,0.234176841857,0.0390262288292,16.6652810414,0.448610794025,0,0.492365097589,0.646537602383,0.0748695692012,0.0261473249801,0.410698356808,0.474570651558,0.125888321174,0.172404533715,0.35354318829,0.38099644507,0.149001838105,0.22104827893,0.304250528917,0.308900516324,0.17396140956,0.226860202288,0.226860202288,0.226860202288,0.226860202288,678817160,192475061,31524039,1,0
50,0.218244558485,0.037438780162,17.154507962,0.439075476337,0,0.471698113208,0.631026315789,0.0684785230606,0.0169309462916,0.392100840336,0.460144035253,0.116006081212,0.156218214625,0.336792613423,0.361950582325,0.138015989069,0.203631445657,0.286468479079,0.290282047926,0.16136362905,0.211357565241,0.211357565241,0.211357565241,0.211357565241,692071622,179220599,31524039,1,0
