k,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
1,0.0293517371557,0.00907718537474,30.9255473589,0.457703170181,0,0.5,1,0.0703368695678,0.0315871572733,0.181411126187,0.330833333333,0.0524705374526,0.0342311188929,0.125280966485,0.251828358209,0.0479625196281,0.0327653666781,0.0822096782864,0.0841506154045,0.0367801539665,0.0294127719811,0.0294127719811,0.0294127719811,0.0294127719811,842721518,28570703,3230231388900,53.2388574794,5.51115448367
2,0.0432017931929,0.0117843568596,27.2774715785,0.540837187713,0,0.514817290553,1,0.0799792314902,0.0496160834652,0.205082848186,0.333333333333,0.0670328137505,0.0504887803485,0.144490554173,0.263000276396,0.0629185115196,0.0476676394535,0.107167321577,0.107233264781,0.0518195244362,0.0431345464508,0.0431345464508,0.0431345464508,0.0431345464508,829711101,41581120,2197864989510,45.5841107185,4.86419168043
3,0.0501386185336,0.0130204531253,25.9689108039,0.578687370468,0,0.5,1,0.0811099299102,0.0551030124756,0.194751082251,0.3,0.0713863003768,0.0613461062335,0.147750596699,0.231211995578,0.0679851817431,0.0542632644056,0.116496276038,0.119033979101,0.0589227811479,0.0500182652572,0.0500182652572,0.0500182652572,0.0500182652572,823313672,47978549,1673110662690,42.6156183746,4.59566843525
4,0.0535185512889,0.0132984838266,24.8483628692,0.601129174449,0,0.5,1,0.079585754601,0.0589764885564,0.187922705314,0.2685,0.0728183499434,0.0621476363523,0.143882026707,0.216724709784,0.069586911758,0.0595398928132,0.118183394382,0.122045557069,0.062174362143,0.0534372930889,0.0534372930889,0.0534372930889,0.0534372930889,819580132,51712089,1337799223510,40.9770023557,4.46842066506
5,0.0542145932873,0.0134963250029,24.8942658877,0.616251275624,0,0.5,1,0.0756977602785,0.060303030303,0.179282134326,0.234665505226,0.0707502856288,0.060570538365,0.148956778403,0.18662106136,0.0682995601555,0.0592230453755,0.115682871135,0.121652418591,0.0624672639172,0.0541165323409,0.0541165323409,0.0541165323409,0.0541165323409,819226418,52065803,1107537776370,39.9633333333,4.38698124711
6,0.0553825281661,0.0139520511699,25.1921528898,0.628118025729,0,0.5,1,0.0734621760728,0.063032527346,0.174245315259,0.225384615385,0.0706277512931,0.0626588352032,0.146131750287,0.180784964069,0.068967299864,0.0613831565071,0.116335049746,0.120178361734,0.0634529841351,0.0552752345944,0.0552752345944,0.0552752345944,0.0552752345944,817872622,53419599,958978883412,39.2221319199,4.3344497114
7,0.0544210464225,0.0138449655149,25.4404617792,0.635242541148,0,0.5,1,0.0691204395523,0.0588458083994,0.160625020718,0.225384615385,0.0676499117734,0.0621266938665,0.134794849552,0.16387368712,0.0663539482987,0.0599228898546,0.114266014598,0.116448603374,0.0619962325961,0.054339140163,0.054339140163,0.054339140163,0.054339140163,818477251,52814970,847739637012,38.7508303887,4.28838339295
8,0.0548339526927,0.0140622901476,25.6452242764,0.64142729271,0,0.476708074534,1,0.0669115635713,0.0585784313725,0.158154761905,0.221929335193,0.066823013129,0.0629777307397,0.137462140333,0.141488335801,0.0657530225274,0.0616595409691,0.116295017564,0.118886761234,0.0623758787385,0.0546759058426,0.0546759058426,0.0546759058426,0.0546759058426,818550271,52741950,758125843512,38.376254417,4.2624088768
9,0.0554946027252,0.0145248759627,26.1734930055,0.646922325716,0,0.5,1,0.0678358514815,0.0579954212282,0.159682430665,0.227134615385,0.0683257806507,0.0640696814499,0.138807275011,0.151127694859,0.0668754920952,0.0611611356013,0.118798254924,0.120884935114,0.0629308842641,0.0552752345944,0.0552752345944,0.0552752345944,0.0552752345944,817775613,53516608,697728121851,38.1039988221,4.23218438404
10,0.0555712853182,0.0145877117903,26.2504487826,0.651066040958,0,0.466666666667,1,0.0658453584763,0.05625220424,0.161196963352,0.223922333705,0.0666292290886,0.0649049842197,0.132796302353,0.143169601834,0.0655434607391,0.060403586959,0.119241155925,0.120973515314,0.0626543719526,0.0553722687733,0.0553722687733,0.0553722687733,0.0553722687733,817470565,53821656,642724321890,37.7721672556,4.22079382916
11,0.0559487996225,0.0148242001029,26.496011001,0.652516729305,0,0.444444444444,1,0.0641103716156,0.0553639846743,0.159763277508,0.223922333705,0.0662031521422,0.0640547122331,0.133866042801,0.142752773331,0.0652376305236,0.0604207113777,0.120504884612,0.121012328707,0.0624938804421,0.0556462476312,0.0556462476312,0.0556462476312,0.0556462476312,817300420,53991801,598090755390,37.5628739694,4.19974773996
12,0.0566153483159,0.0149974165053,26.4900189638,0.657281028211,0,0.4375,1,0.0635746146412,0.0577111452523,0.162582619339,0.198885894617,0.0661885066235,0.0638524394323,0.134715837505,0.14109919571,0.0653814606378,0.0602047294568,0.121729975745,0.122647907169,0.0630367278882,0.0562170369187,0.0562170369187,0.0562170369187,0.0562170369187,816373573,54918648,556045139529,37.3044169611,4.18374573388
13,0.0565858550109,0.015117237389,26.7155765095,0.657460422716,0,0.416666666667,1,0.0603584442963,0.0528058556988,0.156151092016,0.190990802676,0.0638143426615,0.0627589758023,0.134885357356,0.136802641177,0.0636477741649,0.0596833358388,0.122658564015,0.124144174427,0.0623647459824,0.0561028790612,0.0561028790612,0.0561028790612,0.0561028790612,816443727,54848494,524366614329,37.1474381625,4.16843297192
14,0.056650740282,0.0151707516736,26.7794411832,0.658717032006,0,0.4,1,0.0586569667451,0.0534183031403,0.156221001221,0.192598462798,0.0628818769127,0.0639235103132,0.135078332491,0.136908031836,0.0626317210427,0.0609161264453,0.12061119668,0.124539975508,0.0620030053596,0.056154250097,0.056154250097,0.056154250097,0.056154250097,816142668,55149553,492116890329,36.9730506478,4.1542267273
15,0.0574706541615,0.0154737139911,26.9245482183,0.660421304618,0,0.4,1,0.0584938856521,0.0542036061502,0.158798701299,0.196823905697,0.0637548326501,0.065341068908,0.134788055414,0.141336676462,0.0636436881381,0.0624455330017,0.124074221449,0.127205503105,0.0630308386113,0.0570275577068,0.0570275577068,0.0570275577068,0.0570275577068,815227663,56064558,469235771829,36.8181036514,4.14124555811
16,0.0583259600071,0.01562315849,26.7859431513,0.662106141742,0,0.4,1,0.0580407668862,0.0545454545455,0.162341667259,0.193249434389,0.0639309366902,0.0645310198822,0.135502014404,0.143245221189,0.0641347778975,0.0637790723561,0.124453920673,0.128610145955,0.0636966345593,0.0577867074591,0.0577867074591,0.0577867074591,0.0577867074591,814146408,57145813,449851387929,36.6670612485,4.13338067197
