R,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
1,0.281012210228,0.016673155112,5.93324934117,0.873082895511,0.0967741935484,0.5,0.627747378021,0.156514078233,0.231430641348,0.349829723671,0.432280159753,0.229393877501,0.250499515711,0.341637084378,0.353761329699,0.242630612945,0.264455509607,0.316628977391,0.329890622669,0.257978620294,0.278413890728,0.278413890728,0.278413890728,0.278413890728,626466479,244825742,195734045895,20.1823262662,1.78587980506
2,0.203362236772,0.0182375003087,8.96798766485,0.857054127764,0,0.394736842105,0.544896331738,0.0946922724735,0.144124146243,0.278950008325,0.371819037748,0.147760587426,0.176674878706,0.26255342534,0.287273024282,0.162544278763,0.189255312681,0.24201185616,0.256552075261,0.177978410358,0.200518276673,0.200518276673,0.200518276673,0.200518276673,696909337,174382884,224428269834,22.8839988221,2.01520718113
3,0.11662832537,0.0140774162513,12.0703235742,0.834531072934,0,0.25,0.401805555556,0.048824438712,0.0701078713001,0.173344493048,0.261904492956,0.079399683929,0.0901355184368,0.15464955235,0.191826613027,0.0900606367206,0.105525357985,0.144658525841,0.15584405957,0.100098362649,0.11484280463,0.11484280463,0.11484280463,0.11484280463,773235722,98056499,278218421073,26.6482685512,2.46132608716
4,0.0834660532059,0.0129343359584,15.4965227917,0.816387327845,0,0.190476190476,0.352384737679,0.0317513251116,0.0428571428571,0.136169668079,0.233843530729,0.0540328820399,0.0599417885423,0.117811446516,0.157910788794,0.0627424923065,0.0726623283491,0.10825551745,0.119661414737,0.0702595099466,0.0821308705678,0.0821308705678,0.0821308705678,0.0821308705678,802373832,68918389,300287954673,28.2126383981,2.6237580307
5,0.055246858963,0.0111462741573,20.175398867,0.795701178817,0,0.130011293055,0.294744455159,0.0196748518289,0.0243054312413,0.100261882427,0.186990400791,0.0346185415589,0.0421955574971,0.0795758521714,0.121745354904,0.0410029375826,0.0448483938894,0.0771142951488,0.0874335521747,0.0459552416306,0.0543790954131,0.0543790954131,0.0543790954131,0.0543790954131,826609989,44682232,325982861673,29.8115194346,2.80500566073
6,0.04036453725,0.0101888501327,25.2420833407,0.777306568576,0,0.0954011741683,0.247407943041,0.0136611594221,0.0148800738007,0.0810169491525,0.171293217776,0.024971376824,0.0294994115143,0.0620361852169,0.102592393125,0.0299140072115,0.0306756848082,0.0587974430771,0.0679443272635,0.033551238955,0.0398239685838,0.0398239685838,0.0398239685838,0.0398239685838,838912736,32379485,338962070373,30.7857891637,2.87842492124
7,0.0286733911402,0.00903197988009,31.4995175699,0.757776804071,0,0.0613029827316,0.205618401207,0.00935491097219,0.00612558863811,0.0625830868556,0.149365990641,0.0176729879181,0.0194410269294,0.0473079284713,0.0828174014047,0.0214970542169,0.0204778964288,0.0451813004662,0.0528476024648,0.0238137302573,0.0283168565492,0.0283168565492,0.0283168565492,0.0283168565492,848944798,22347423,349843917612,31.7635806832,2.96608219273
8,0.0216303899015,0.0082064706385,37.9395409693,0.740026173056,0,0.0408862175007,0.181818181818,0.00691744451412,0.00202049887954,0.0512665131499,0.13084442478,0.0134629891703,0.0146568593958,0.0394315789491,0.0705091952298,0.016504234363,0.0150358448146,0.0362015869748,0.0424054882943,0.018214060346,0.0214217219571,0.0214217219571,0.0214217219571,0.0214217219571,854910074,16382147,357622164612,32.5066843345,3.01636596827
9,0.016374682947,0.00733337119648,44.7848133623,0.721705542647,0,0.0178571428571,0.154300699301,0.00510473413867,0,0.0417646572722,0.113174739195,0.0102322669093,0.0105822496265,0.0331152757104,0.0610283433346,0.0126651455458,0.010430641855,0.0295019157234,0.0353829113097,0.0138084245119,0.0162446631202,0.0162446631202,0.0162446631202,0.0162446631202,858977619,12314602,362866777851,33.1849941107,3.05043813021
10,0.0129534595647,0.00686322050213,52.9836872371,0.704792990332,0,0,0.127659574468,0.0039937776948,0,0.0383613577434,0.105986033572,0.00824125673774,0.0077014650088,0.0300638794062,0.0554734705535,0.0102525071044,0.00831568866768,0.0247706369366,0.0297622236256,0.0110896432544,0.0129055457887,0.0129055457887,0.0129055457887,0.0129055457887,861638681,9653540,368236308651,33.78401649,3.074500212
